src,dst,weight
50,51,0.11145815068729856
50,49,0.11140466147880654
50,171,0.10791512778011011
50,172,0.07752982688359968
50,170,0.07751181751553851
50,52,0.05571904621259617
51,50,0.11145815068729856
51,52,0.11141802896726948
51,172,0.10791512778011011
51,171,0.07752982688359968
51,173,0.07751631949126023
51,49,0.05571570293628512
52,51,0.11141802896726948
52,53,0.11140466147878396
52,173,0.10791512778011011
52,172,0.07751631949126023
52,174,0.07751181751553092
52,50,0.05571904621259617
53,54,0.11145815068729856
53,52,0.11140466147878396
53,174,0.10791512778011011
53,175,0.07752982688359968
53,173,0.07751181751553092
53,55,0.05571904621259617
54,53,0.11145815068729856
54,55,0.11141802896726948
54,175,0.10791512778011011
54,174,0.07752982688359968
54,176,0.07751631949126023
54,52,0.05571570293627947
55,54,0.11141802896726948
55,56,0.11140466147878396
55,176,0.10791512778011011
55,175,0.07751631949126023
55,177,0.07751181751553092
55,53,0.05571904621259617
56,57,0.11145815068732115
56,55,0.11140466147878396
56,177,0.10791512778011011
56,178,0.07752982688360727
56,176,0.07751181751553092
56,58,0.05571904621259617
57,56,0.11145815068732115
57,58,0.1114180289672469
57,178,0.10791512778011011
57,177,0.07752982688360727
57,179,0.07751631949125264
57,55,0.05571570293628512
58,57,0.1114180289672469
58,59,0.11140466147878396
58,179,0.10791512778011011
58,178,0.07751631949125264
58,180,0.07751181751553092
58,56,0.05571904621259617
59,60,0.11145815068729856
59,58,0.11140466147878396
59,180,0.10791512778011011
59,181,0.07752982688359968
59,179,0.07751181751553092
59,61,0.05571904621259052
60,59,0.11145815068729856
60,61,0.1114180289672469
60,181,0.10791512778011011
60,180,0.07752982688359968
60,182,0.07751631949125264
60,58,0.05571570293627947
61,60,0.1114180289672469
61,62,0.11140466147882912
61,182,0.10791512778011011
61,181,0.07751631949125264
61,183,0.07751181751554613
61,59,0.05571904621259052
62,63,0.11145815068727596
62,61,0.11140466147882912
62,183,0.10791512778011011
62,184,0.07752982688359207
62,182,0.07751181751554613
62,64,0.05571904621259052
63,62,0.11145815068727596
63,64,0.11141802896726948
63,184,0.10791512778011011
63,183,0.07752982688359207
63,185,0.07751631949126023
63,61,0.05571570293628512
64,63,0.11141802896726948
64,65,0.11140466147878396
64,185,0.10791512778011011
64,184,0.07751631949126023
64,186,0.07751181751553092
64,62,0.05571904621259052
65,66,0.11145815068732115
65,64,0.11140466147878396
65,186,0.10791512778011011
65,187,0.07752982688360727
65,185,0.07751181751553092
65,67,0.05571904621260182
66,65,0.11145815068732115
66,67,0.11141802896726948
66,187,0.10791512778011011
66,186,0.07752982688360727
66,188,0.07751631949126023
66,64,0.05571570293628512
67,66,0.11141802896726948
67,68,0.1114046614787614
67,188,0.10791512778011011
67,187,0.07751631949126023
67,189,0.0775118175155233
67,65,0.05571904621260182
68,69,0.11145815068734376
68,67,0.1114046614787614
68,189,0.10791512778011011
68,190,0.07752982688361487
68,188,0.0775118175155233
68,70,0.05571904621260182
69,68,0.11145815068734376
69,70,0.1114180289672469
69,190,0.10791512778011011
69,189,0.07752982688361487
69,191,0.07751631949125264
69,67,0.05571570293628512
70,69,0.1114180289672469
70,71,0.1114046614787614
70,191,0.10791512778011011
70,190,0.07751631949125264
70,192,0.0775118175155233
70,68,0.05571904621260182
71,72,0.11145815068732115
71,70,0.1114046614787614
71,192,0.10791512778011011
71,193,0.07752982688360727
71,191,0.0775118175155233
71,73,0.05571904621260182
72,71,0.11145815068732115
72,73,0.11141802896726948
72,193,0.10791512778011011
72,192,0.07752982688360727
72,194,0.07751631949126023
72,70,0.05571570293627947
73,72,0.11141802896726948
73,74,0.11140466147878396
73,194,0.10791512778011011
73,193,0.07751631949126023
73,195,0.07751181751553092
73,71,0.05571904621260182
74,75,0.11145815068729856
74,73,0.11140466147878396
74,195,0.10791512778011011
74,196,0.07752982688359968
74,194,0.07751181751553092
74,76,0.05571904621259617
75,74,0.11145815068729856
75,76,0.11141802896726948
75,196,0.10791512778011011
75,195,0.07752982688359968
75,197,0.07751631949126023
75,73,0.05571570293627947
76,75,0.11141802896726948
76,77,0.11140466147878396
76,197,0.10791512778011011
76,196,0.07751631949126023
76,198,0.07751181751553092
76,74,0.05571904621259617
77,78,0.11145815068729856
77,76,0.11140466147878396
77,198,0.10791512778011011
77,199,0.07752982688359968
77,197,0.07751181751553092
77,79,0.05571904621259617
78,77,0.11145815068729856
78,79,0.11141802896726948
78,199,0.10791512778011011
78,198,0.07752982688359968
78,200,0.07751631949126023
78,76,0.05571570293627947
79,78,0.11141802896726948
79,80,0.11140466147878396
79,200,0.10791512778011011
79,199,0.07751631949126023
79,201,0.07751181751553092
79,77,0.05571904621259617
80,81,0.11145815068732115
80,79,0.11140466147878396
80,201,0.10791512778011011
80,202,0.07752982688360727
80,200,0.07751181751553092
80,82,0.05571904621259617
81,80,0.11145815068732115
81,82,0.1114180289672469
81,202,0.10791512778011011
81,201,0.07752982688360727
81,203,0.07751631949125264
81,79,0.05571570293628512
82,81,0.1114180289672469
82,83,0.11140466147878396
82,203,0.10791512778011011
